Year,leg_id,type,bill,name,last
2016,MOL000080,primary,HB 1682,Frederick, Keith
2016,MOL000415,primary,SB 635,Hegeman,
2016,MOL000110,primary,HB 1816,Koenig, Andrew
2016,MOL000157,primary,SB 865,Sater,
2016,MOL000033,primary,SB 973,Wasson,
2016,MOL000015,primary,SB 988,Kraus,
2016,MOL000402,primary,HB 1851,Alferman, Justin
2016,MOL000146,primary,HB 1599,Phillips, Don
2016,MOL000263,primary,HB 1649,Haahr, Elijah
2016,MOL000316,primary,HB 1550,Neely, Jim
2016,MOL000120,primary,HB 1561,Leara, Mike
2016,MOL000339,primary,HB 1698,Rowden, Caleb
2016,MOL000094,primary,HB 1870,Hoskins, Denny
2016,MOL000138,primary,SB 833,Nasheed,
2016,MOL000094,primary,HB 1976,Hoskins, Denny
2016,MOL000190,primary,SB 861,Wieland,
2016,MOL000153,primary,SB 921,Riddle,
2016,MOL000031,primary,SB 919,Schmitt,
2016,MOL000198,primary,SB 932,Cunningham,
2016,MOL000286,primary,HB 2380,Kolkmeyer, Glen
2016,MOL000095,primary,HB 2376,Hough, Lincoln
2016,MOL000100,primary,HB 2453,Johnson, Delus
2016,MOL000324,primary,HB 1418,Pfautsch, Donna
2016,MOL000110,primary,HB 1434,Koenig, Andrew
2016,MOL000415,primary,SB 1002,Hegeman,
2016,MOL000183,primary,SB 814,Wallingford,
2016,MOL000121,primary,HB 1717,Lichtenegger, Donna
2016,MOL000015,primary,SB 823,Kraus,
2016,MOL000392,primary,HB 1432,Vescovo, Rob
2016,MOL000110,primary,HB 1435,Koenig, Andrew
2016,MOL000332,primary,HB 1713,Remole, Tim
2016,MOL000183,primary,SB 794,Wallingford,
2016,MOL000106,primary,HB 1582,Kelley, Mike
2016,MOL000094,primary,HB 2030,Hoskins, Denny
2016,MOL000150,primary,HB 2381,Redmon, Craig
2016,MOL000021,primary,SB 655,Munzlinger,
2016,MOL000021,primary,SB 657,Munzlinger,
2016,MOL000023,primary,SB 664,Parson,
2016,MOL000023,primary,SB 665,Parson,
2016,MOL000030,primary,SB 915,Schaefer,
2016,MOL000096,primary,HB 2335,Houghton, Jay
2016,MOL000153,primary,SB 1009,Riddle,
2016,MOL000152,primary,HB 2591,Richardson, Todd
2016,MOL000094,primary,HB 2194,Hoskins, Denny
2016,MOL000023,primary,SB 947,Parson,
2016,MOL000355,primary,HB 1646,Swan, Kathryn
2016,MOL000263,primary,HB 1562,Haahr, Elijah
2016,MOL000153,primary,SB 638,Riddle,
2016,MOL000355,primary,HB 2379,Swan, Kathryn
2016,MOL000295,primary,HB 1568,Lynch, Steve
2016,MOL000387,primary,HB 1684,Fitzwater, Travis
2016,MOL000031,primary,SB 572,Schmitt,
2016,MOL000001,primary,SB 986,Brown,
2016,MOL000024,primary,SB 997,Pearce,
2016,MOL000076,primary,HB 2018,Flanigan, Tom
2016,MOL000076,primary,HB 2017,Flanigan, Tom
2016,MOL000366,primary,HB 1877,Wood, David
2016,MOL000168,primary,SB 905,Sifton,
2016,MOL000115,primary,HB 2355,Lant, Bill
2016,MOL000001,primary,SB 711,Brown,
2016,MOL000155,primary,HB 1696,Rowland, Lyle
2016,MOL000393,primary,HB 2150,Wiemann, John
2016,MOL000263,primary,HB 1681,Haahr, Elijah
